,number of rooms,security level of the community,residence space,building space,noise level,waterfront,view,air quality level,aboveground space ,basement space,building year,decoration year,exchange rate,total cost
number of rooms,1.0,0.5250223932841951,0.5757767460572497,0.13278949531131096,0.15801000279549748,-0.01811952181280093,0.11528596929942445,0.019920477221133878,0.4544643633514716,0.3156679645048271,0.12016856916708747,-0.051180685878712,-0.014251525476264742,0.373316758808477
security level of the community,0.5250223932841951,1.0,0.7417649321423858,0.18588406332919238,0.4892978587222115,0.03219654535723683,0.1910631017367532,-0.14064729567229958,0.6691290995683292,0.2548362114898559,0.47591356571561544,-0.21514852047997401,-0.025824343182728943,0.5822853438546638
residence space,0.5757767460572497,0.7417649321423858,1.0,0.34797104329851364,0.3409394964907045,0.04612886081563515,0.2929982609743215,-0.07806246519507533,0.8647670759727275,0.4112763482465558,0.2900814086744792,-0.11815958137544669,-0.008050091608838057,0.7650116968873537
building space,0.13278949531131096,0.18588406332919238,0.34797104329851364,1.0,-0.0013855790743523926,0.053001871565260227,0.07595506099664835,0.0031620824108514706,0.3317586668863054,0.08712493379862511,0.07471945334990786,-0.02558642893351815,-0.0005346787712681102,0.23934842940276405
noise level,0.15801000279549748,0.4892978587222115,0.3409394964907045,-0.0013855790743523926,1.0,0.006577998486230275,0.01575259763254183,-0.3023814153934132,0.5340853597761747,-0.29405385135446016,0.4919268487041324,-0.23031956681610588,-0.013356924696320866,0.28827976577684467
waterfront,-0.01811952181280093,0.03219654535723683,0.04612886081563515,0.053001871565260227,0.006577998486230275,1.0,0.27219660208061747,0.02226381120461822,0.02832858951960813,0.03995850475767255,-0.03863635491344273,0.007734623359734319,0.003853308177903369,0.06428514687210199
view,0.11528596929942445,0.1910631017367532,0.2929982609743215,0.07595506099664835,0.01575259763254183,0.27219660208061747,1.0,0.0562753598407788,0.14744120896829127,0.3127875412456094,-0.05328430842521928,0.019192379401781375,0.03164821486210826,0.3302917121050988
air quality level,0.019920477221133878,-0.14064729567229958,-0.07806246519507533,0.0031620824108514706,-0.3023814153934132,0.02226381120461822,0.0562753598407788,1.0,-0.2037881890595289,0.21526521485183076,-0.41040412977101787,-0.17758687173376506,0.02303680910959699,0.021412809840756653
aboveground space ,0.4544643633514716,0.6691290995683292,0.8647670759727275,0.3317586668863054,0.5340853597761747,0.02832858951960813,0.14744120896829127,-0.2037881890595289,1.0,-0.10207798571008746,0.43120402978976735,-0.158974937080734,-0.019489712539519675,0.649115449746658
basement space,0.3156679645048271,0.2548362114898559,0.4112763482465558,0.08712493379862511,-0.29405385135446016,0.03995850475767255,0.3127875412456094,0.21526521485183076,-0.10207798571008746,1.0,-0.20805760596848208,0.05449314114220689,0.019429632703621993,0.3372141450519032
building year,0.12016856916708747,0.47591356571561544,0.2900814086744792,0.07471945334990786,0.4919268487041324,-0.03863635491344273,-0.05328430842521928,-0.41040412977101787,0.43120402978976735,-0.20805760596848208,1.0,-0.3207626004034356,-0.03087844873772222,0.09787558762075876
decoration year,-0.051180685878712,-0.21514852047997401,-0.11815958137544669,-0.02558642893351815,-0.23031956681610588,0.007734623359734319,0.019192379401781375,-0.17758687173376506,-0.158974937080734,0.05449314114220689,-0.3207626004034356,1.0,0.01846246024500329,-0.07079105524403441
exchange rate,-0.014251525476264742,-0.025824343182728943,-0.008050091608838057,-0.0005346787712681102,-0.013356924696320866,0.003853308177903369,0.03164821486210826,0.02303680910959699,-0.019489712539519675,0.019429632703621993,-0.03087844873772222,0.01846246024500329,1.0,0.050362922549114245
total cost,0.373316758808477,0.5822853438546638,0.7650116968873537,0.23934842940276405,0.28827976577684467,0.06428514687210199,0.3302917121050988,0.021412809840756653,0.649115449746658,0.3372141450519032,0.09787558762075876,-0.07079105524403441,0.050362922549114245,1.0
